WinMargin,average,linreg,naive,extr,ranfor,xgb,nn,lstm,tpot
14.0,14.0,1,1,0,1,1,0,0,1
13.0,5.9,0,0,0,0,0,1,1,0
8.0,3.0,0,0,0,0,1,0,0,0
3.0,-1.0,0,0,0,0,0,1,1,0
4.0,1.0,0,0,1,1,1,1,1,0
10.0,6.2,0,0,1,0,1,1,1,0
-7.0,-2.2,1,1,0,0,0,0,1,1
15.0,11.0,0,0,0,1,0,1,1,0
-2.9999999999999996,13.100000000000001,1,1,0,0,0,0,0,1
13.0,-4.7,1,0,0,0,1,0,1,1
3.0,-7.000000000000001,0,0,0,0,1,1,1,0
2.0,-8.0,0,0,1,1,1,1,1,0
11.0,5.0,0,0,0,0,1,1,1,0
-0.9999999999999996,-13.0,0,0,1,1,1,1,1,1
-0.9999999999999996,8.0,1,1,0,1,1,0,1,1
-21.0,-3.0,1,1,1,1,0,0,1,1
20.0,14.2,0,0,0,0,1,1,1,0
24.0,13.0,0,0,1,1,1,1,1,0
-0.9999999999999996,-4.0,0,0,1,1,1,1,1,0
-6.0,3.0,0,1,1,1,0,0,0,0
7.0,6.0,0,0,1,1,1,1,1,0
-16.0,-6.099999999999999,1,1,1,1,0,0,1,1
-3.9999999999999996,-6.000000000000001,0,0,1,1,1,1,1,0
22.0,9.0,0,0,0,0,0,1,1,0
15.0,-5.000000000000001,0,0,1,1,1,0,1,0
-9.0,-6.000000000000001,1,1,0,0,0,0,1,1
-24.0,-3.1000000000000005,1,1,1,1,0,1,1,1
-3.9999999999999996,6.0,1,1,1,1,1,1,1,1
-5.0,-4.8999999999999995,1,1,0,1,0,0,1,0
9.0,2.2,0,0,0,0,0,0,0,0
33.0,15.7,0,0,1,1,1,1,1,0
15.0,6.0,0,0,1,1,1,1,1,0
-14.000000000000002,6.8,1,1,0,0,0,0,0,1
-9.0,7.0,1,1,0,0,0,0,1,1
26.0,9.0,0,0,1,1,1,1,1,0
4.0,12.8,0,1,1,1,1,0,0,1
-6.0,-1.6000000000000005,1,1,1,1,1,1,1,1
12.0,11.0,0,0,1,0,0,0,1,0
24.0,12.0,0,0,1,1,0,0,0,0
10.0,9.0,0,0,0,0,0,1,0,0
5.0,-3.3000000000000007,0,0,0,1,0,0,0,0
8.0,9.3,1,1,0,1,1,1,0,0
-5.0,4.9,1,1,0,0,0,1,0,1
35.0,9.8,0,0,0,1,0,0,0,0
14.0,7.1,0,0,1,1,1,1,0,0
21.0,17.0,0,0,0,0,0,0,1,0
10.0,4.1,0,0,0,0,0,1,1,0
-7.0,-5.000000000000001,1,1,1,1,1,1,0,1
-5.0,4.8,1,1,0,0,0,1,0,1
11.0,-9.0,0,0,0,1,0,0,0,0
-1.9999999999999996,3.8,1,1,0,0,0,0,1,1
9.0,5.0,0,0,0,0,0,1,1,0
35.0,15.0,0,0,0,1,0,1,1,0
-10.0,7.0,1,1,1,1,1,0,1,1
26.0,13.0,0,0,1,0,0,1,0,0
1.0,5.0,1,1,1,0,0,1,1,1
38.0,12.0,1,0,1,1,0,0,0,0
32.0,17.0,0,0,1,1,0,0,1,0
